15min_bin,glucose
2019-08-07 23:45:00,6.4
2019-08-08 00:00:00,6.2
2019-08-08 00:15:00,6.1
2019-08-08 00:30:00,5.8
2019-08-08 00:45:00,5.9
2019-08-08 01:00:00,6.7
2019-08-08 01:15:00,7.2
2019-08-08 01:30:00,6.9
2019-08-08 01:45:00,6.8
2019-08-08 02:00:00,6.4
2019-08-08 02:15:00,5.9
2019-08-08 02:30:00,5.9
2019-08-08 02:45:00,6.1
2019-08-08 03:00:00,6.7
2019-08-08 03:15:00,7.3
2019-08-08 03:30:00,7.1
2019-08-08 03:45:00,
2019-08-08 04:00:00,6.1
2019-08-08 04:15:00,
2019-08-08 04:30:00,
2019-08-08 04:45:00,
2019-08-08 05:00:00,
2019-08-08 05:15:00,
2019-08-08 05:30:00,
2019-08-08 05:45:00,
2019-08-08 06:00:00,
2019-08-08 06:15:00,
2019-08-08 06:30:00,
2019-08-08 06:45:00,
2019-08-08 07:00:00,
2019-08-08 07:15:00,4.6
2019-08-08 07:30:00,4.6
2019-08-08 07:45:00,5.4
2019-08-08 08:00:00,6.5
2019-08-08 08:15:00,6.7
2019-08-08 08:30:00,6.3
2019-08-08 08:45:00,5.5
2019-08-08 09:00:00,5.5
2019-08-08 09:15:00,6.2
2019-08-08 09:30:00,6.2
2019-08-08 09:45:00,5.6
2019-08-08 10:00:00,4.9
2019-08-08 10:15:00,4.7
2019-08-08 10:30:00,5.3
2019-08-08 10:45:00,5.7
2019-08-08 11:00:00,5.3
2019-08-08 11:15:00,5.2
2019-08-08 11:30:00,5.2
2019-08-08 11:45:00,5.2
2019-08-08 12:00:00,5.2
2019-08-08 12:15:00,5.4
2019-08-08 12:30:00,6.0
2019-08-08 12:45:00,6.1
2019-08-08 13:00:00,5.7
2019-08-08 13:15:00,5.7
2019-08-08 13:30:00,5.9
2019-08-08 13:45:00,5.7
2019-08-08 14:00:00,5.4
2019-08-08 14:15:00,5.7
2019-08-08 14:30:00,6.2
2019-08-08 14:45:00,6.1
2019-08-08 15:00:00,6.1
2019-08-08 15:15:00,
2019-08-08 15:30:00,
2019-08-08 15:45:00,
2019-08-08 16:00:00,
2019-08-08 16:15:00,
2019-08-08 16:30:00,5.3
2019-08-08 16:45:00,5.3
2019-08-08 17:00:00,5.1
2019-08-08 17:15:00,5.0
2019-08-08 17:30:00,5.0
2019-08-08 17:45:00,5.2
2019-08-08 18:00:00,5.3
